substrate	kinase
SYN1	PAK2
SYN1	CDK5
SYN1	PAK3
SYN1	PAK1
AR	AKT1
AR	MAPK1
UBA1	CDK1
CACNB2	PRKACA
CIITA	PRKACA
OPRM1	ADRBK2
OPRM1	ADRBK1
ABCA1	PRKACA
MAP3K11	MAP3K11
MAP3K11	MAP4K1
MAP3K11	AKT1
TXK	SRC
TXK	TXK
TXK	FYN
ITGB2	PRKCA
ITGB2	PRKCB
ITGB2	PRKCD
ITGB2	PRKCH
PTPN12	PRKCA
PTPN12	PRKACA
SYK	LYN
SYK	SYK
SLC1A3	SGK1
PDE4B	PRKACA
PDE4D	PRKACA
CREBBP	PRKCD
CREBBP	CAMK4
MST1R	MST1R
JAK3	JAK3
DUSP3	ZAP70
BRCA2	PLK1
PLCG2	LYN
PLCG2	BTK
PLCG2	FYN
PLCG2	HCK
PLCG2	LCK
TEK	TEK
PLCB3	CAMK2G
PLCB3	PRKG1
PLCB3	PRKG2
PLCB3	CAMK2B
HIRA	CDK2
ELK3	MAPK14
ELK3	MAPK8
ELK3	MAPK9
COIL	CDK2
NOTCH2	GSK3B
ID3	CDK2
RAP1GAP	PRKACA
RAP1GAP	CDK1
HNF4A	PRKAA2
HNF4A	MAPK14
MAPK14	MAP2K6
MAPK14	MAP2K3
MAPK14	RET
ADCY3	CAMK2G
CDX2	CDK2
CDX2	GSK3B
CDX2	MAPK14
RAPGEF1	HCK
AQP4	CSNK2A1
AQP4	CSNK2A2
SNAP25	PRKCA
SNAP25	PRKACA
MYT1	PLK1
ID2	CDK2
MEP1B	PRKCD
FEN1	CDK1
DDR1	DDR1
AMPH	CDK1
AMPH	CDK5
VAV2	EGFR
FABP4	INSR
PRKCQ	LCK
PRKCQ	PRKCQ
NTRK2	NTRK2
NFATC1	PRKCA
NFE2L2	PRKCD
SUB1	CSNK2A1
GTF2A1	TAF1
GTF2A1	CSNK2A1
GTF2A1	CSNK2A2
DLX3	PRKCA
ETV1	PRKACA
ETV1	RPS6KA1
ETV1	RPS6KA5
ETV1	MAPKAPK2
NR4A3	RPS6KA1
STAT1	KIT
STAT1	TYK2
STAT1	PRKCD
STAT1	CAMK2G
STAT1	RPS6KA5
STAT1	EGFR
STAT1	FGFR3
STAT1	FGFR4
STAT1	JAK1
STAT1	JAK2
STAT1	LCK
STAT2	JAK1
STAT4	MAPK14
STAT4	MAP2K6
SHC1	SRC
SHC1	SYK
SHC1	FLT3
SHC1	FYN
SHC1	INSR
SHC1	LCK
SHC1	PRKCA
SHC1	ZAP70
TEC	TEC
NKX2-5	CSNK2A1
SRF	PRKDC
SRF	RPS6KA1
SRF	CAMK2A
SRF	MAPKAPK2
SRF	CSNK2A1
EPHB1	EPHB1
EEF1B2	CSNK2A1
EEF1B2	CSNK2A2
MEF2A	MAPK14
MEF2A	MAPK7
MEF2A	CDK5
MEF2C	MAPK14
MEF2C	MAPK7
MEF2C	CSNK2A1
MEF2C	CDK1
MEF2C	CCNB1
MEF2D	MAPK7
CHUK	MAP3K14
CHUK	AKT1
CHUK	AKT2
CHUK	PRKCQ
UBTF	MAPK1
UBTF	MAPK3
UBTF	CDK2
PTBP1	PRKACA
IL6ST	PRKCD
HMGA2	CDK1
HMGA1	CSNK2A1
HMGA1	CSNK2A2
HMGA1	CDK1
HNRNPK	PRKCD
HNRNPK	SRC
HNRNPK	MAPK10
DUSP1	MAPK1
DUSP1	MAPK3
SYN2	PRKACA
PTK2	SRC
PTK2	PTK2
PTK2	INSR
PTK2	CRK
PTK2	RET
PTK2	PTK2B
PSEN2	CSNK1A1
PSEN2	CSNK1D
PSEN2	CSNK2A1
SCNN1G	MAPK1
CDKN1B	CDK2
CDKN1B	AKT1
CDKN1B	LYN
CDKN1B	ABL1
CDKN1B	SRC
CDKN1B	YES1
IRS2	INSR
CNN1	FYN
MRE11A	ATM
TAGLN	PRKCD
INPPL1	SRC
DAPK1	DAPK1
DAPK1	MAPK1
RGS2	PRKG1
CSNK1E	CSNK1E
GRK6	GRK6
GRK5	GRK5
PRKDC	PRKDC
PPP1R3A	RPS6KA1
MYLK	CAMK2G
MYLK	PAK1
MYLK	PAK2
AANAT	PRKACA
TERF1	ATM
MYO6	PAK3
SMAD4	MAPK1
EPHB2	EPHB2
MAZ	CSNK2A1
DLG1	CAMK2A
SNTA1	MAPK12
SLC6A9	PRKCA
PKN1	PKN1
PKN1	PDPK1
CTNND1	EGFR
CTNND1	GSK3B
CTNND1	SRC
CAV1	SRC
CAV1	CSNK2A1
CAV1	CSNK2A2
CAV2	SRC
IL15RA	SYK
THOP1	PRKACA
CDH5	SRC
H3F3A	MAPK9
FHIT	SRC
MAPK8	MAP2K4
MAPK8	MAP2K7
MAPK8	RET
CRIP2	PRKG1
CASR	PRKCA
CASR	PRKCB
CASR	PRKCG
PTK2B	PTPN11
PTK2B	PTK2B
MTOR	MTOR
MTOR	AKT1
MTOR	RPS6KB1
MTOR	RPS6KA1
MTOR	PRKAA1
DAB2	PRKCB
DAB2	PRKCD
DAB2	PRKCG
HDAC1	CSNK2A1
HDAC1	CSNK2A2
MAP2K2	MAP2K2
DUT	CDK1
CCR2	JAK2
GPM6A	PRKCA
PLEC	CDK1
YWHAZ	CSNK1A1
YWHAZ	MAPKAPK2
YWHAZ	PRKCD
YWHAZ	AKT1
YWHAZ	MAPK8
YWHAZ	STK25
YWHAB	PRKCZ
HCLS1	FGR
HCLS1	LYN
HCLS1	SYK
HCLS1	CSNK2A1
HNRNPD	PRKACA
HNRNPD	GSK3B
LIMK1	ROCK1
LIMK1	PAK1
LIMK1	CDC42BPA
LIMK1	LIMK1
MAP2K4	MAP2K4
MAP2K4	AKT1
SMAD2	TGFBR1
SMAD2	ACVR1B
SMAD2	MAPK3
SMAD2	CAMK2A
SMAD2	MAPK1
CCR5	ADRBK2
KAT5	CDK1
KAT5	CCNB1
MYBL2	CDK2
DGKZ	PRKCA
CFL1	LIMK1
CFL1	TESK1
CFL1	LIMK2
CFL1	TESK2
CFL1	NRK
CFL2	LIMK1
PPARG	MAPK1
PPARG	MAPK8
NCF4	PRKCD
STAT5A	BTK
STAT5A	JAK2
SF1	PRKG1
GRB10	SRC
GRB10	FYN
GRB10	MAPK1
LTB4R	GRK6
CASP6	NUAK1
ATXN1	AKT1
ADD3	PRKCA
EZH2	AKT1
SMAD1	TGFBR1
SMAD1	ACVR1
SMAD1	MAPK1
LCP2	ZAP70
LCP2	TXK
LCP2	LCK
PPP2R5A	EIF2AK2
GTF2I	SRC
GTF2I	BTK
GTF2I	PRKG1
GTF2I	JAK2
RPS6KA1	MAPK1
RPS6KA1	RPS6KA1
RPS6KA1	PDPK1
RPS6KA2	RPS6KA2
VASP	PRKACA
VASP	PRKG1
EIF5	CSNK2A1
EIF5	CSNK2B
GMFB	PRKCA
GMFB	PRKACA
GMFB	RPS6KA1
GMFB	CSNK2A1
PTEN	CSNK2A1
PTEN	CSNK2A2
PTEN	AKT1
PTEN	STK11
CUL5	PRKACA
VDR	CSNK2A1
H2AFX	ATM
