COMT,TRIP13,any
PLK3,TP53,any
>PLK3,6.538752675457464
PLK3,TRIP13,any
PLK3,CCNE1,any
PLK3,TP53,any
>PLK3,6.443679284879141
PTEN,TP53,any
PLK3,TRIP13,any
TP53,PLK3,any
>PLK3,6.370051022455653
PLK3,TRIP13,any
TP53,EGFR,any
PLK3,TP53,any
>PLK3,6.300489581046864
TP53,BCL2L1,any
PLK3,TRIP13,any
PLK3,TP53,any
>DPYSL4,4.8284746728072925
DPYSL4,TRIP13,any
TRIP13,CPSF3L,any
TRIP13,PLK3,any
PLK3,TP53,any
>DPYSL4,5.356614320740396
TRIP13,DPYSL4,any
PLK3,TRIP13,any
PLK3,TP53,any
>DPYSL4,5.003060930147122
DPYSL4,TRIP13,any
TRIP13,MAD2L1BP,any
MAD2L1BP,TP53,any
>DPYSL4,5.22336029831717
TRIP13,DPYSL4,any
PLK3,TRIP13,any
PLK3,CCNE1,any
PLK3,TP53,any
>DPYSL4,4.792355742051282
DPYSL4,TRIP13,any
DPYSL4,SH3GL2,any
EGFR,TP53,any
SH3GL2,EGFR,any
>SERPINB9,5.56083719633428
SERPINB9,TP53,any
TP53,SKP2,any
SKP2,RB1,any
>SERPINB9,5.31937471270849
SERPINB9,TP53,any
TP53,SKP2,any
SKP2,RB1,any
TP53,EGFR,any
>SERPINB9,5.281887883455967
SERPINB9,TP53,any
TP53,PTEN,any
SERPINB9,SETDB1,any
>SERPINB9,5.3588286544607175
SERPINB9,TP53,any
TP53,MDM2,any
TP53,SKP2,any
>SERPINB9,5.285623015501397
SERPINB9,TP53,any
TP53,TFDP1,any
TP53,SKP2,any
SKP2,FOXM1,any
>TNRC6A,5.356614320740396
TRIP13,PLK3,any
TNRC6A,TRIP13,any
PLK3,TP53,any
>TNRC6A,5.159852718226388
WNK1,CSDE1,any
WNK1,TNRC6A,any
TNRC6A,TRIP13,any
>TNRC6A,5.291698075510385
TNRC6A,WNK1,any
TNRC6A,TRIP13,any
TRIP13,SELENBP1,any
>TNRC6A,5.296073952621295
TRIP13,COMT,any
TNRC6A,WNK1,any
TNRC6A,TRIP13,any
>TNRC6A,5.217227457667283
TRIP13,PLK3,any
PLK3,CCNE1,any
TNRC6A,TRIP13,any
PLK3,TP53,any
>ATF2,5.806974088923042
RB1,SKP2,any
RB1,ATF2,any
RB1,TP53,any
>ATF2,5.180452961647026
RB1,ATF2,any
RB1,CCNE1,any
RB1,TP53,any
>ATF2,5.3273135355456
SKP2,TP53,any
SKP2,RB1,any
RB1,ATF2,any
SKP2,FOXM1,any
>ATF2,5.142992920032588
TP53,SKP2,any
