Gene	APC	TP53	CTNNB1	NAV3	SMAD4	KRT23	PIK3CA	ANKRD17	NEB	NUPL2	GIGYF2	GRB2	EGFR	KRT14	MYC	VCAN	NCKAP5L	NUP98	RAC1	ERBB2
Rank	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0
GeneName	APC	TP53	CTNNB1	NAV3	SMAD4	KRT23	PIK3CA	ANKRD17	NEB	NUPL2	GIGYF2	GRB2	EGFR	KRT14	MYC	VCAN	NCKAP5L	NUP98	RAC1	ERBB2
TCGA-A6-2678-01		1	1		1															
TCGA-F4-6854-01		1	1				1													
TCGA-AG-3575-01		1	1																	
TCGA-AZ-5403-01		1		1	1		1		1		1		1							
TCGA-DT-5265-01		1			1		1		1											
TCGA-G4-6299-01		1			1		1						1		1	1				
TCGA-D5-6534-01		1			1		1						1							
TCGA-F4-6805-01		1			1		1													
TCGA-AA-3520-01		1			1															
TCGA-AA-3560-01		1			1															
TCGA-AG-A016-01		1			1															
TCGA-AA-A01D-01		1			1															
TCGA-A6-4105-01		1				1	1													1
TCGA-AA-3956-01		1					1								1					
TCGA-AA-A03J-01		1					1													
TCGA-G4-6321-01		1							1											
TCGA-AA-A00E-01		1								1			1			1				
TCGA-AA-3517-01		1																		1
TCGA-AY-4070-01		1																		1
TCGA-AA-3869-01		1																		1
TCGA-AA-A00F-01		1																		
TCGA-AA-3524-01		1																		
TCGA-F4-6704-01		1																		
TCGA-AG-3578-01		1																		
TCGA-AA-3875-01		1																		
TCGA-AG-3608-01		1																		
TCGA-AG-A00Y-01		1																		
TCGA-AA-3842-01		1																		
TCGA-A6-2683-01		1																		
TCGA-AA-3867-01		1																		
TCGA-AA-3955-01		1																		
TCGA-AA-A01G-01		1																		
TCGA-AA-3844-01		1																		
TCGA-AZ-4323-01		1																		
TCGA-AA-A004-01		1																		
TCGA-AF-2689-01		1																		
TCGA-AA-3526-01		1																		
TCGA-AA-3696-01			1	1			1													
TCGA-AA-3831-01			1	1												1				
TCGA-CM-4747-01			1				1													
TCGA-AA-3534-01			1													1				
TCGA-AA-3819-01				1																
TCGA-AG-390
